european_sales,north_american_sales,aisan_sales,japan_sales,genre,release_year,platform,vg_score,total_shipped,Production Cost
558.0,449.0,198.0,12.0,0.0,9.0,4.0,9.0,68.0,419.0
1.0,13.0,198.0,94.0,2.0,8.0,0.0,23.0,233.0,245.0
533.0,401.0,587.0,198.0,3.0,16.0,9.0,23.0,155.0,25.0
26.0,4.0,198.0,444.0,6.0,15.0,2.0,32.0,140.0,575.0
10.0,15.0,198.0,490.0,7.0,0.0,3.0,14.0,118.0,195.0
505.0,109.0,177.0,408.0,6.0,3.0,2.0,14.0,300.0,260.0
308.0,92.0,198.0,19.0,2.0,0.0,4.0,35.0,367.0,236.0
58.0,49.0,38.0,6.0,5.0,11.0,5.0,14.0,271.0,467.0
636.0,93.0,274.0,155.0,7.0,2.0,2.0,3.0,253.0,454.0
343.0,279.0,315.0,331.0,5.0,12.0,2.0,35.0,16.0,295.0
564.0,0.0,198.0,499.0,3.0,9.0,0.0,14.0,72.0,175.0
461.0,195.0,244.0,349.0,7.0,0.0,9.0,1.0,240.0,306.0
5.0,8.0,198.0,330.0,5.0,0.0,3.0,2.0,214.0,149.0
661.0,656.0,682.0,57.0,3.0,1.0,2.0,2.0,164.0,147.0
310.0,603.0,588.0,296.0,5.0,8.0,8.0,2.0,219.0,42.0
233.0,668.0,406.0,264.0,0.0,1.0,2.0,32.0,149.0,163.0
162.0,249.0,631.0,64.0,6.0,8.0,8.0,7.0,134.0,418.0
540.0,2.0,198.0,128.0,7.0,7.0,0.0,1.0,202.0,405.0
1.0,1.0,198.0,303.0,0.0,15.0,5.0,35.0,167.0,355.0
3.0,409.0,198.0,451.0,6.0,7.0,2.0,0.0,129.0,590.0
394.0,6.0,198.0,425.0,0.0,11.0,5.0,23.0,104.0,211.0
8.0,9.0,198.0,1.0,6.0,12.0,5.0,9.0,369.0,233.0
1.0,61.0,198.0,376.0,7.0,6.0,4.0,3.0,108.0,352.0
470.0,122.0,198.0,0.0,0.0,9.0,0.0,2.0,112.0,5.0
681.0,658.0,199.0,540.0,3.0,14.0,2.0,23.0,125.0,444.0
540.0,102.0,683.0,377.0,4.0,6.0,4.0,1.0,106.0,211.0
0.0,31.0,198.0,146.0,7.0,15.0,5.0,32.0,69.0,416.0
440.0,337.0,434.0,290.0,0.0,8.0,2.0,35.0,199.0,536.0
434.0,288.0,361.0,550.0,0.0,18.0,2.0,35.0,165.0,338.0
12.0,16.0,198.0,150.0,3.0,0.0,4.0,1.0,339.0,458.0
463.0,200.0,608.0,474.0,6.0,1.0,4.0,2.0,59.0,296.0
537.0,434.0,198.0,5.0,7.0,0.0,4.0,1.0,190.0,452.0
238.0,205.0,248.0,480.0,0.0,8.0,2.0,35.0,309.0,467.0
157.0,5.0,198.0,198.0,5.0,7.0,0.0,32.0,193.0,326.0
6.0,469.0,198.0,493.0,7.0,11.0,5.0,32.0,197.0,43.0
666.0,258.0,481.0,548.0,7.0,7.0,4.0,7.0,301.0,263.0
481.0,304.0,164.0,276.0,5.0,7.0,2.0,0.0,113.0,186.0
302.0,259.0,330.0,240.0,3.0,14.0,2.0,35.0,21.0,242.0
629.0,96.0,63.0,174.0,0.0,9.0,8.0,14.0,276.0,312.0
415.0,98.0,134.0,88.0,0.0,17.0,2.0,9.0,361.0,213.0
406.0,264.0,103.0,316.0,0.0,0.0,3.0,1.0,276.0,240.0
7.0,10.0,198.0,163.0,6.0,2.0,4.0,35.0,113.0,202.0
549.0,8.0,198.0,315.0,5.0,9.0,0.0,14.0,155.0,406.0
506.0,391.0,242.0,107.0,5.0,3.0,2.0,1.0,361.0,179.0
483.0,331.0,198.0,1.0,0.0,6.0,4.0,0.0,90.0,12.0
4.0,6.0,198.0,152.0,0.0,4.0,4.0,9.0,259.0,268.0
372.0,419.0,619.0,211.0,0.0,0.0,3.0,23.0,267.0,30.0
0.0,3.0,198.0,169.0,7.0,8.0,0.0,3.0,205.0,90.0
683.0,286.0,197.0,253.0,1.0,19.0,6.0,14.0,194.0,123.0
361.0,123.0,198.0,0.0,7.0,9.0,0.0,7.0,227.0,304.0
400.0,143.0,286.0,159.0,5.0,11.0,8.0,14.0,362.0,413.0
294.0,306.0,56.0,446.0,2.0,9.0,5.0,2.0,64.0,263.0
564.0,443.0,141.0,59.0,7.0,2.0,2.0,35.0,231.0,62.0
172.0,197.0,201.0,449.0,7.0,4.0,4.0,1.0,103.0,130.0
479.0,0.0,198.0,156.0,7.0,7.0,0.0,32.0,97.0,415.0
329.0,16.0,198.0,154.0,6.0,8.0,0.0,1.0,189.0,375.0
143.0,231.0,198.0,0.0,0.0,8.0,4.0,7.0,363.0,285.0
418.0,284.0,679.0,269.0,4.0,5.0,4.0,1.0,95.0,141.0
11.0,15.0,198.0,289.0,2.0,2.0,4.0,7.0,250.0,339.0
139.0,379.0,230.0,99.0,0.0,17.0,2.0,35.0,95.0,71.0
426.0,480.0,67.0,153.0,7.0,9.0,8.0,2.0,127.0,520.0
526.0,170.0,651.0,145.0,7.0,6.0,4.0,35.0,79.0,226.0
369.0,646.0,250.0,136.0,4.0,9.0,8.0,32.0,130.0,549.0
664.0,543.0,331.0,274.0,0.0,10.0,2.0,23.0,240.0,21.0
0.0,4.0,198.0,504.0,5.0,8.0,5.0,9.0,241.0,542.0
644.0,276.0,473.0,156.0,6.0,6.0,4.0,0.0,247.0,308.0
675.0,243.0,103.0,471.0,5.0,7.0,8.0,20.0,123.0,385.0
111.0,47.0,98.0,277.0,3.0,7.0,0.0,7.0,197.0,536.0
433.0,447.0,531.0,90.0,5.0,8.0,8.0,10.0,279.0,475.0
374.0,684.0,474.0,229.0,0.0,6.0,2.0,1.0,144.0,81.0
267.0,310.0,198.0,18.0,0.0,7.0,0.0,0.0,266.0,94.0
111.0,2.0,198.0,199.0,4.0,9.0,0.0,35.0,264.0,23.0
172.0,120.0,79.0,476.0,1.0,19.0,2.0,23.0,92.0,109.0
168.0,175.0,672.0,295.0,5.0,9.0,2.0,9.0,258.0,108.0
17.0,22.0,198.0,540.0,2.0,4.0,4.0,0.0,263.0,465.0
508.0,432.0,573.0,536.0,0.0,6.0,4.0,14.0,125.0,99.0
445.0,506.0,264.0,440.0,7.0,3.0,3.0,32.0,181.0,254.0
4.0,43.0,198.0,37.0,0.0,5.0,0.0,23.0,314.0,373.0
1.0,2.0,198.0,524.0,4.0,2.0,4.0,9.0,298.0,330.0
100.0,466.0,349.0,91.0,5.0,16.0,6.0,9.0,218.0,89.0
148.0,221.0,61.0,277.0,5.0,6.0,2.0,2.0,10.0,363.0
458.0,406.0,414.0,139.0,0.0,4.0,2.0,32.0,308.0,116.0
665.0,267.0,431.0,249.0,5.0,5.0,2.0,2.0,232.0,316.0
515.0,98.0,290.0,382.0,6.0,1.0,2.0,14.0,147.0,330.0
535.0,221.0,386.0,237.0,2.0,5.0,4.0,9.0,61.0,501.0
352.0,245.0,405.0,409.0,4.0,6.0,0.0,32.0,138.0,364.0
21.0,27.0,198.0,145.0,4.0,2.0,4.0,9.0,63.0,507.0
12.0,4.0,198.0,285.0,4.0,10.0,5.0,9.0,147.0,241.0
619.0,235.0,13.0,431.0,4.0,2.0,3.0,1.0,262.0,62.0
205.0,397.0,641.0,97.0,7.0,3.0,2.0,3.0,163.0,193.0
584.0,191.0,470.0,490.0,6.0,9.0,8.0,32.0,112.0,159.0
668.0,606.0,628.0,542.0,4.0,19.0,8.0,35.0,246.0,566.0
446.0,4.0,198.0,308.0,6.0,8.0,0.0,14.0,244.0,340.0
487.0,148.0,418.0,129.0,5.0,3.0,2.0,23.0,30.0,353.0
656.0,592.0,443.0,492.0,0.0,8.0,2.0,23.0,169.0,524.0
144.0,12.0,198.0,230.0,6.0,9.0,0.0,35.0,188.0,239.0
529.0,249.0,186.0,92.0,0.0,3.0,2.0,1.0,203.0,99.0
21.0,14.0,198.0,519.0,0.0,9.0,0.0,9.0,265.0,1.0
272.0,201.0,2.0,310.0,4.0,9.0,8.0,9.0,239.0,363.0
655.0,529.0,409.0,345.0,4.0,7.0,2.0,32.0,285.0,467.0
312.0,598.0,319.0,67.0,3.0,9.0,8.0,23.0,273.0,62.0
7.0,24.0,198.0,307.0,4.0,9.0,0.0,32.0,308.0,3.0
609.0,390.0,557.0,261.0,3.0,3.0,3.0,7.0,231.0,77.0
266.0,283.0,388.0,531.0,7.0,5.0,2.0,35.0,262.0,591.0
582.0,374.0,17.0,356.0,0.0,13.0,5.0,9.0,201.0,38.0
217.0,433.0,239.0,504.0,6.0,12.0,2.0,14.0,322.0,199.0
