title,platform,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,global_sales,Production Cost,release_year
Darius Burst,PSN,Shooter,Frontier Developments,1,7,5,183,5.67,7.01,4.92,6.99,24.59,5.31,2009
Serious Sam II,PC,Shooter,Frontier Developments,2,5,1,61,3,2.2,2.11,0.01,4.33,2.2,2005
MediEvil,PSN,Adventure,Activision,10,10,8,189,7.94,6.02,4.75,5.81,24.52,5.23,2006
Conflict  Global Terror,PC,Shooter,Frontier Developments,3,10,10,161,5.37,2.75,2.94,6.81,17.87,4.07,2005
Close Combat  First to Fight,PC,Shooter,Frontier Developments,5,1,5,1,6.99,2.89,3.79,2.05,15.72,5.84,2005
Boku wa Koukuu Kanseikan 3  Onikawa Blue Corridor   Fukkoku Fanservice Han,PC,Simulation,Electronic Arts,3,8,3,166,6.79,7.57,5.03,5.04,24.43,6.93,2009
Sprint Cars 2  Showdown at Eldora,PS2,Racing,Activision,4,8,2,10,5.57,7.99,5.57,5.24,24.37,4.85,2008
Midnight GT  Primary Racer,PC,Racing,Electronic Arts,7,4,5,52,6.48,7.35,5.64,4.9,24.37,6.35,2011
Real Madrid  The Game,PS2,Sports,Activision,1,9,5,36,7.31,6.63,3.62,6.78,24.34,5.33,2009
Oh Sir The Insult Simulator,PS4,Simulation,Electronic Arts,9,3,3,165,5.69,6.65,5.9,6.06,24.3,3.96,2017
Doc Clock  The Toasted Sandwich of Time,PSN,Puzzle,Omega,4,6,7,299,7.91,7.8,4.32,4.18,24.21,4.36,2007
Sam & Max  The Devils Playhouse   Episode 5  The City That Dares Not Sleep,PC,Adventure,Activision,8,4,4,126,7.98,6.97,4.86,4.27,24.08,5.09,2010
Splatter   Zombie Apocalypse,PC,Shooter,Sony Computer Entertainment,3,6,4,0.17,4.75,7.39,5.36,6.57,24.07,4.42,2006
Miss Popularity,PC,Simulation,IBM,6,3,3,247,5.64,7.16,5.53,5.61,23.94,5.14,2007
Strong Bads Cool Game for Attractive People Episode 1  Homestar Ruiner,PC,Adventure,Activision,8,4,7,98,5.49,6.31,5.37,6.72,23.89,6.28,2008
Kane & Lynch  Dead Men,PC,Shooter,Sony Computer Entertainment,3,4,7,77,7.8,4.64,4.9,6.48,23.82,3.42,2007
Conflict  Global Terror,PS2,Shooter,Frontier Developments,4,9,10,162,3,0.09,3.75,0.07,4.1,4.55,2005
Sam & Max  Season One,PC,Adventure,Activision,3,6,8,218,4.94,7.98,5.37,5.53,23.82,6.8,2007
Reversion   The Escape (1st Chapter),PC,Adventure,Ubisoft,6,5,7,0.13,7.62,4.06,5.1,6.96,23.74,5.63,2012
Twisted Metal  Head On   Extra Twisted Edition,PS2,Racing,IBM,7,2,7,99,6.56,7.65,3.96,5.56,23.73,5.18,2008
Aquatopia™,PSN,Simulation,Electronic Arts,1,9,10,125,7.08,6.86,5.25,4.51,23.7,6.57,2007
Bridge Project,PC,Simulation,Ubisoft,9,5,2,0.11,5.99,6.71,4.59,6.41,23.7,5.17,2013
Inkoku no Ryohime,PC,Adventure,Electronic Arts,7,1,2,124,5.51,6.65,4.87,6.62,23.65,3.9,2011
Doom 64,PS4,Shooter,Amazon Game Studios,6,9,7,67,7.96,4.2,5.2,6.24,23.6,6.67,2020
Black Mirror,PC,Adventure,Sony Computer Entertainment,8,3,10,82,7.62,5.86,4.66,5.45,23.59,5.01,2017
Don Bradman Cricket 14,PC,Sports,Activision,10,9,2,211,8,6.94,3.45,5.2,23.59,3.28,2014
Cake Mania  Main Street,PC,Simulation,Omega,1,7,10,248,5.91,7.06,5.36,5.24,23.57,3.37,2009
Call of Duty  Black Ops,PS3,Shooter,Activision,9,8.7,5,121,12.67,6.01,0.48,4.4,23.56,5.79,2010
Hamiltons Great Adventure,PC,Adventure,IBM,6,7,4,253,7.1,4.26,5.5,6.63,23.49,1.2,2011
So Many Me,PC,Puzzle,IBM,7,10,8,141,7.67,4.71,5.73,5.32,23.43,4.13,2014
Superbike GP,PS2,Racing,Frontier Developments,5,4,4,167,7.64,4.37,5.38,5.97,23.36,4.83,2006
Bejeweled 3,PC,Puzzle,Omega,8,8.1,9,0.3,7.31,3.46,5.67,6.89,23.33,6.7,2010
Ayaturi Yousuri  Dream Note,PC,Adventure,Omega,3,3,2,190,6.9,6.14,3.92,6.36,23.32,3.98,2007
THE KING OF FIGHTERS XIII STEAM EDITION,PC,Fighting,Frontier Developments,10,9,7,243,4.55,7.49,5.44,5.8,23.28,6.29,2013
Plantera,PC,Simulation,Omega,7,8,9,0.17,5.77,5.62,5.21,6.67,23.27,4.49,2015
Hitogata Happa,PSN,Shooter,Omega,10,6,10,208,6.21,5.66,5.37,6,23.24,4.05,2010
The Graveyard,PC,Adventure,Activision,8,2,9,15,6.43,6.33,5.07,5.41,23.24,2.87,2008
Slay the Spire,PS4,Puzzle,Activision,9,1,3,262,6.32,4.85,6,6.06,23.23,5.11,2019
Degrees of Separation,PC,Puzzle,Ubisoft,8,2,1,102,5.96,6.49,4.12,6.65,23.22,6.55,2019
Ankh,PC,Adventure,Amazon Game Studios,6,1,9,0.1,5.67,7.2,4.31,6,23.18,4.35,2006
This is Football Management,PSN,Sports,Electronic Arts,8,6,2,210,4.34,7.25,5.85,5.63,23.07,4.46,2010
Go  Puzzle,PS3,Puzzle,Sony Computer Entertainment,10,10,9,67,7.46,7.56,1.63,6.38,23.03,2.87,2007
Manifold Garden,PC,Puzzle,Electronic Arts,8,4,6,54,3.01,7.14,5.85,6.97,22.97,5.4,2014
Gendai Daisenryaku  Isshoku Sokuhatsu   Gunji Balance Houkai,PS2,Simulation,Sony Computer Entertainment,7,5,8,149,7.09,7.54,3.43,4.87,22.93,6.85,2009
Sentris,Linux,Simulation,Sony Computer Entertainment,9,6,9,174,5.38,7.45,5.96,4.13,22.92,3.81,2015
NeoGeo Online Collection Complete Box Joukan,PS2,Fighting,Activision,8,8,1,103,4.91,6.97,4.65,6.37,22.9,2.13,2009
Tomb Raider  The Last Revelation,PSN,Adventure,Omega,6,3,1,243,5.47,7.16,5.99,4.25,22.87,5.44,2009
1500DS Spirits Vol. 3  Block Kuzushi,DS,Puzzle,IBM,5,6,1,162,6.48,4.42,4.98,6.99,22.87,6.08,2007
HamsterBall,PSN,Puzzle,Omega,6,2,1,210,6.63,4.64,4.95,6.64,22.86,4.97,2010
Generation Zero,PC,Shooter,Amazon Game Studios,10,5,10,150,5.44,6.46,4.36,6.59,22.85,5.59,2019
Sega Ages 2500 Series Vol. 25  Gunstar Heroes Treasure Box,PS2,Shooter,Sony Computer Entertainment,8,1,7,136,3.7,7.52,4.81,6.79,22.82,6.63,2006
Shojo Infinite Reipu,PC,Adventure,Omega,2,10,7,297,6,4.5,5.64,6.68,22.82,6.82,2006
Alpha Polaris,PC,Adventure,Sony Computer Entertainment,7,8,2,223,6.46,4.7,5.09,6.57,22.82,6.47,2011
Skullgirls,PSN,Fighting,Electronic Arts,8,3,1,99,5.47,6.73,5.84,4.77,22.81,6.92,2020
Tales from the Borderlands,PS4,Adventure,Omega,6,7,6,203,7.87,6.86,5.18,2.87,22.78,2.73,2014
The Typing of the Dead 2,PC,Shooter,Sony Computer Entertainment,8,9,10,135,7.69,6.17,2.9,6.01,22.77,4.26,2008
OutRun 2006  Coast 2 Coast,PC,Racing,Activision,4,6,5,90,7.11,6.28,2.92,6.45,22.76,2.83,2006
Happy Feet,PC,Adventure,Omega,1,4,2,262,7.12,3.9,5.41,6.31,22.74,5.34,2006
Hello Flowerz ,PSN,Simulation,IBM,6,8,4,79,7.13,7.9,5.76,1.9,22.69,1.94,2010
Sega Ages 2500 Series Vol. 28  Tetris Collection,PS2,Puzzle,Frontier Developments,6,8,10,249,7.77,4.1,4.37,6.44,22.68,3.57,2006
Cleopatra  Riddle of the Tomb,PC,Adventure,Activision,6,9,10,218,7.2,4.51,5.61,5.35,22.67,3.9,2008
World Snooker Championship 2007,PS2,Sports,Sony Computer Entertainment,7,4,8,159,6.27,6.74,3.1,6.55,22.66,4.98,2007
Bulletstorm  Blood Symphony,PSN,Shooter,Electronic Arts,9,10,4,235,6.26,5.02,5.89,5.46,22.63,4.21,2018
Pia Carrot G.O. Toy Box Summer Fair,PC,Adventure,Ubisoft,8,8,10,195,7.33,4.25,4.92,6.06,22.56,3.59,2006
Puzzle Series Vol. 5  Slither Link,DS,Puzzle,Amazon Game Studios,5,2,3,286,7.97,4.55,4.52,5.49,22.53,6.05,2006
Winning Post 7 2012,PC,Sports,Amazon Game Studios,10,10,4,4,6.51,4.03,5.99,5.98,22.51,5.95,2012
Imagine  Pet Vet in Australia,PC,Simulation,Ubisoft,9,5,4,158,6.82,5.65,4.45,5.57,22.49,4.75,2006
Last Half of Darkness  Beyond the Spirits Eye,PC,Adventure,Activision,5,7,9,68,7.29,7.58,3.49,4.12,22.48,6.78,2008
Danganronpa  Trigger Happy Havoc,PC,Adventure,Frontier Developments,6,2,4,0.23,7.5,7.71,1.39,5.87,22.47,3.84,2016
Time Gentlemen,PC,Adventure,Activision,7,8.8,2,192,5.07,7.61,5.87,3.91,22.46,5.46,2009
Dinosaur Hunt Puzzle,PC,Puzzle,Amazon Game Studios,7,8,10,52,4.11,7.59,4.03,6.67,22.4,2.75,2019
12Riven  The Psi Climinal of Integral,PC,Adventure,IBM,8,6,10,115,6.35,4.12,5.2,6.69,22.36,3.99,2008
Top Spin,PS2,Sports,Frontier Developments,5,9,8,206,3,0.05,4.5,0.04,4.69,6.55,2005
Corvette Evolution GT,PS2,Racing,Activision,7,8,7,231,5.76,6.57,3.29,6.73,22.35,2.57,2006
Hot Wheels Worlds Best Driver,PS3,Racing,Sony Computer Entertainment,7,7,5,145,7.74,6.22,1.65,6.72,22.33,5.56,2013
Fishdom 5 Game Pack,PC,Puzzle,Activision,7,7,5,197,5.94,4.83,5.06,6.47,22.3,1.94,2014
Touhou Shinreibyou  Ten Desires,PC,Shooter,Sony Computer Entertainment,8,4,6,54,7.19,6.5,5.56,3.05,22.3,6.35,2017
Quartett  The Stage of Love,PS2,Adventure,Frontier Developments,7,1,8,54,6.81,4.41,5.81,5.24,22.27,1.86,2006
NHL 2K6,PS2,Sports,Frontier Developments,1,6,3,94,3,0.21,4.23,0.16,5.02,6.35,2005
Switchball,PC,Puzzle,Electronic Arts,9,1,5,34,7.05,6.51,2.74,5.96,22.26,6.87,2007
My Pet Dolphin,DS,Simulation,Sony Computer Entertainment,7,4,1,38,5.59,4.38,5.77,6.51,22.25,5.57,2007
Sekai Fushigi Hakken DS  Densetsu no Hitoshi kun Ningyou o Sagase,DS,Puzzle,Activision,1,4,9,33,7.31,4.37,4.67,5.89,22.24,6.82,2009
War Inc. Battlezone,PC,Shooter,Omega,10,5,2,152,4.77,6.65,4.64,6.17,22.23,6.66,2011
Vertigo,PC,Racing,Electronic Arts,5,10,9,187,6.54,4.06,5.2,6.42,22.22,6.11,2009
Masked Shooters 2,PC,Shooter,Electronic Arts,9,10,8,0.15,5.23,5.99,4.7,6.3,22.22,3.63,2013
Super Stardust HD,PSN,Shooter,Amazon Game Studios,2,8.5,8,130,6.53,5.52,3.8,6.36,22.21,1.74,2007
Nat Geo Games  Ghost Fleet,PC,Adventure,Sony Computer Entertainment,6,3,6,263,5.64,7.71,3.79,5.06,22.2,0.02,2010
OneShot,PC,Puzzle,Sony Computer Entertainment,6,10,8,0.18,6.84,5.05,5.06,5.24,22.19,3.4,2014
SpongeBob SquarePants  Planktons Robotic Revenge,PS3,Board Game,Ubisoft,7,6,4,54,7.94,3.21,4.56,6.47,22.18,1.49,2013
Blackwood Crossing,PS4,Adventure,Ubisoft,6,10,5,20,7.44,6.01,5,3.73,22.18,5.39,2017
Arcade Hits  Outlaws of the Lost Dynasty,PSN,Fighting,Sony Computer Entertainment,6,9,9,71,5.69,6.68,3.45,6.32,22.14,4.47,2010
Team Fortress 2,PS3,Shooter,Electronic Arts,4,10,6,81,6.73,4.43,4.64,6.33,22.13,3.68,2007
Major League Baseball 2K5  World Series Edition,PS2,Sports,Frontier Developments,7,9,9,249,1.93,2.29,1.56,2.65,8.43,5.29,2005
Major League Baseball 2K5,PS2,Sports,Frontier Developments,10,3,3,83,1.48,0.72,3.81,0.56,6.57,1.25,2005
Deadfall Adventures,PC,Shooter,IBM,9,3,8,0.25,6.37,6.99,5.48,3.28,22.12,3.23,2013
Space Invaders (Japan),PSN,Shooter,Electronic Arts,1,8,2,35,7.64,4.13,5.58,4.76,22.11,4.39,2008
College Hoops 2K6,PS2,Sports,Frontier Developments,8,8.3,7,218,3,0.12,2.68,0.1,3.15,3.5,2005
Cook Serve & Delicious 2,PC,Simulation,Sony Computer Entertainment,10,4,2,0.11,3.23,7.5,5.64,5.74,22.11,4.29,2017
RECYCLE,PC,Simulation,Frontier Developments,6,3,10,123,4.12,7.97,3.14,6.87,22.1,3.54,2014
Shopping Mall Parking,PC,Simulation,Frontier Developments,8,6,3,288,6.03,4.7,4.57,6.79,22.09,6.26,2014
Barbie and the Three Musketeers,PC,Adventure,IBM,7,6,9,88,7.54,4.89,5.28,4.35,22.06,3.5,2009
Star Wars  Squadrons,PC,Shooter,Electronic Arts,10,4,2,70,7.69,3.19,5.78,5.4,22.06,1.88,2020
Blacksite  Area 51,PC,Shooter,Ubisoft,7,8,10,209,7.95,3.24,4.64,6.22,22.05,6.12,2007
Trainz Ultimate Collection,PC,Simulation,IBM,8,2,4,27,7.09,6,3.24,5.72,22.05,2.59,2014
Hunting Unlimited Trophy Collection,PC,Sports,Electronic Arts,7,5,3,279,7.35,7.6,3.71,3.39,22.05,3.46,2018
Luxor 2,PC,Puzzle,Electronic Arts,2,1,9,234,7.53,3.37,5.02,6.12,22.04,3.33,2006
Evochron Renegades,PC,Simulation,Sony Computer Entertainment,7,10,8,73,7.51,6.82,4.93,2.77,22.03,1.96,2016
Putrefaction,PC,Shooter,Electronic Arts,6,7,3,0.1,7.8,2.21,5.26,6.75,22.02,5.34,2015
DUST 514,PS3,Shooter,Amazon Game Studios,7,5,10,96,7.59,2.48,5.23,6.72,22.02,6.17,2008
Nukenin  Hokaku,PC,Adventure,Amazon Game Studios,4,4,6,271,6.74,3.61,4.87,6.8,22.02,4.55,2006
True Fortune,PS2,Adventure,Ubisoft,1,6,5,227,7.86,4.56,5.22,4.37,22.01,4.3,2008
Blazing Chrome,PC,Shooter,Omega,9,1,1,61,6.32,6.51,3.77,5.4,22,5.01,2019
Royal Detective 2  The Lord Of Statues,PC,Puzzle,Activision,6,1,2,152,7.15,4.99,5.5,4.34,21.98,3.77,2015
Elizabeth Find M.D.  Diagnosis Mystery  Season 2,PC,Puzzle,Ubisoft,7,4,9,132,4.13,6.68,5.3,5.87,21.98,6.34,2011
Saru  Get You  Pipo Saru Racer,PSN,Racing,Electronic Arts,8,1,5,12,7.93,7.04,3.83,3.16,21.96,6.26,2009
Mystery P.I.  The Vegas Heist,PC,Puzzle,Frontier Developments,6,9,9,34,7.17,3.25,5.67,5.85,21.94,4.61,2009
Dance Dance Revolution Strike,PS2,Simulation,Ubisoft,4,3,6,89,7.48,3.24,5.92,5.29,21.93,4.83,2006
ARCADE GAME SERIES Dig Dug,PC,Puzzle,Electronic Arts,7,2,1,142,7.44,5.37,3.93,5.19,21.93,6.21,2015
Half Life 2  The Platinum Edition,PC,Shooter,Ubisoft,2,1,5,211,6.96,2.41,5.86,6.7,21.93,2.36,2006
Koiiro Chu  Lips,PC,Adventure,Electronic Arts,4,4,3,11,7.89,3.25,4.86,5.87,21.87,4.04,2006
2Xtreme,PSN,Sports,Frontier Developments,6,3,1,180,5.59,5.61,4.8,5.85,21.85,6.61,2007
Lost Lands  The Golden Curse,PC,Adventure,Sony Computer Entertainment,7,6,4,270,7.13,2.29,5.64,6.75,21.81,2.71,2016
Kart Racer,PS2,Racing,Amazon Game Studios,8,4,8,205,7.67,4.93,5.59,3.62,21.81,4.1,2009
Borderlands  The Zombie Island of Dr. Ned,PC,Shooter,Frontier Developments,8,8,5,203,6.13,4.09,4.91,6.66,21.79,5.3,2009
The Spectrum Retreat,PC,Puzzle,Frontier Developments,6,9,2,3,7.01,6.37,1.79,6.62,21.79,3.01,2019
Rise of the Tomb Raider,PC,Adventure,Ubisoft,8,4,8,2.49,1.77,7.75,5.98,6.27,21.77,4.5,2016
Starshatter  The Gathering Storm,PC,Simulation,Frontier Developments,6,8,2,103,6.9,2.65,5.76,6.46,21.77,4.23,2006
Star Trek (1973) (Original),PC,Adventure,Activision,3,7,2,162,7.28,4.7,2.85,6.94,21.77,4.62,2007
Motorhead,PSN,Racing,Sony Computer Entertainment,6,1,9,277,5.04,6.37,4.43,5.93,21.77,5.03,2008
AGON  Lost Sword of Toledo,PC,Adventure,Activision,9,7,9,210,6.91,4.1,4.98,5.77,21.76,5.22,2008
Battlecruiser Millennium,PC,Simulation,Frontier Developments,6,10,7,291,1.13,3.32,1.6,6.4,12.45,3.22,2001
Sea Dragon,PC,Shooter,Activision,7,9,1,255,5.13,6.2,3.74,6.68,21.75,4.14,2013
Warriors of Might and Magic,PS,Adventure,Frontier Developments,9,1,6,88,3,0.07,5.57,0.05,5.82,4.44,2001
Warriors of Might and Magic,PS2,Adventure,Frontier Developments,10,5,7,113,3,0.09,5.47,0.07,5.8,4.82,2001
Shifters,PS2,Adventure,Frontier Developments,9,5,1,242,3,0.03,5.41,0.02,5.51,4.05,2002
Aqua Aqua,PS2,Puzzle,Frontier Developments,10,4,2,299,3,0.05,5.34,0.04,5.54,4.23,2001
Legends of Might and Magic,PC,Shooter,Frontier Developments,10,1,9,59,4.1,2.1,5.63,1.76,13.59,5.38,2001
WarJetz,PS2,Shooter,Frontier Developments,1,1,10,142,3,0.02,1.51,0.02,1.59,5.68,2001
Dragon Rage,PS2,Shooter,Frontier Developments,4,8,6,64,3,0.03,5.97,0.02,6.08,6.98,2001
Army Men  Sarges Heroes 2,PS2,Shooter,Frontier Developments,1,2,1,104,3,0.09,2.65,0.07,2.98,6.39,2001
Army Men  Green Rogue,PS2,Shooter,Frontier Developments,4,1,5,211,3,0.06,2.61,0.05,2.85,3.36,2001
Sammy Sosa High Heat Baseball 2001,PS,Sports,Frontier Developments,2,3,8,40,3,0.32,3.77,0.22,4.89,1.39,2000
High Heat Baseball 2002,PS,Sports,Frontier Developments,5,2,10,187,3,0.02,2.76,0.02,2.84,4.81,2001
Alex Fergusons Player Manager 2001,PS,Sports,Frontier Developments,8,9,1,96,1.26,1.69,3.77,5.14,11.86,5.86,2000
Jonny Moseley Mad Trix,PS2,Sports,Frontier Developments,9,5,6,46,3,0.07,1.32,0.05,1.58,1.75,2001
High Heat Major League Baseball 2004,PS2,Sports,Frontier Developments,6,8,4,226,3,0.18,1.17,0.14,1.85,4.55,2003
High Heat Major League Baseball 2003,PS2,Sports,Frontier Developments,6,10,10,9,3,0.18,4.35,0.14,5.04,5.65,2002
Alex Fergusons Player Manager 2001,PS2,Sports,Frontier Developments,7,7,6,55,2.62,4.7,4.46,4.63,16.41,2.88,2001
Puzzle Quest  Challenge of the Warlords,PSN,Puzzle,Electronic Arts,1,6,5,128,6.59,4.21,3.93,7,21.73,5.68,2008
Critical Mass,PC,Puzzle,Sony Computer Entertainment,6,8.7,4,256,4.84,6.21,5.52,5.16,21.73,4.9,2015
Fat Princess  Piece of Cake,iOS,Puzzle,Electronic Arts,9,9,7,23,6.88,7.46,3.3,4.07,21.71,3.03,2014
Tumblestone,PC,Puzzle,Omega,6,1,7,0.16,5.42,6.25,3.86,6.17,21.7,5.73,2019
W. L. O. Sekai Renai Kikou,PC,Adventure,Sony Computer Entertainment,8,10,3,88,5.84,4.8,5.4,5.65,21.69,3.18,2009
Soviet Strike,PSN,Simulation,Sony Computer Entertainment,10,4,10,186,7.11,5.18,4.32,5.08,21.69,1.33,2010
Major League Baseball 2K12,PS2,Sports,Omega,6,10,7,128,7.18,3.09,5.03,6.36,21.66,3.43,2012
Petz  Horse Club,PC,Simulation,Ubisoft,3,6,1,175,7.07,7.08,3.54,3.97,21.66,5.06,2008
Brawlout,PS4,Fighting,Activision,6,4,5,174,6.55,3.09,5.83,6.17,21.64,5.97,2020
Holyday City  Reloaded,PC,Simulation,Activision,7,9,6,48,7.81,1.79,5.8,6.21,21.61,5.41,2017
Tales from the Borderlands,PS3,Adventure,Electronic Arts,9,8,2,103,6.95,2.53,5.54,6.59,21.61,5.59,2014
Super Destronaut DX,PS4,Shooter,Frontier Developments,10,10,8,155,7.43,3.89,3.74,6.54,21.6,5.46,2018
World Fighting,PS2,Fighting,Activision,7,10,9,129,4.09,2.39,3.88,6.66,17.02,1.19,2004
Tetris (PSP),PSN,Puzzle,Activision,5,7,5,90,7.46,4.49,2.82,6.81,21.58,3.32,2009
Tall Infinity,PSN,Puzzle,Frontier Developments,7,8,2,143,6.19,6.15,4.48,4.74,21.56,6.26,2010
Koushounin DS  The Negotiator,DS,Adventure,Sony Computer Entertainment,10,6,4,172,7.55,3.38,5.31,5.31,21.55,3.66,2009
The Crown of Midas,DS,Adventure,Omega,8,5,6,281,6.52,6.95,1.97,6.11,21.55,3.05,2011
ADK Tamashii,PS2,Fighting,Ubisoft,2,10,2,116,7.44,2.9,5.78,5.42,21.54,3.29,2008
Privates,PC,Shooter,Electronic Arts,7,1,1,232,7.67,6.03,3.07,4.77,21.54,2.02,2018
Zup  3,PC,Puzzle,Electronic Arts,8,10,7,0.15,6.29,6.57,3.79,4.88,21.53,6.33,2017
Flower Shop  Winter In Fairbrook,PC,Adventure,Omega,9,7,5,261,3.32,7.38,4.1,6.72,21.52,4.88,2011
Fatale  Exploring Salome,PC,Adventure,Omega,8,7,9,91,5.76,4.75,4.99,6.01,21.51,3.97,2009
Alien Zombie MegaDeath,PSN,Shooter,Electronic Arts,6,8.3,1,89,7.91,4.01,4.74,4.83,21.49,4.61,2011
The Infectious Madness of Doctor Dekker,PC,Adventure,Frontier Developments,8,9,5,27,7.47,2.16,4.91,6.94,21.48,6.65,2018
Sonic Riders,PS2,Racing,Amazon Game Studios,7,5,6,1.11,4.31,7.15,3.18,6.84,21.48,1.88,2006
Jett  The Far Shore,PS4,Adventure,Frontier Developments,6,4,4,43,7.84,3.47,4.67,5.48,21.46,4.02,2020
Call of Duty  Black Ops   Annihilation,PSN,Shooter,Activision,9,7,5,15,7.65,4.11,5.7,3.98,21.44,7,2011
Battlefield 2  Armored Fury,PC,Shooter,Electronic Arts,7,3,7,0.13,6.61,4.02,4.13,6.65,21.41,5.47,2006
Pile Up Bakery,PSN,Puzzle,Activision,1,5,9,269,7.68,4.69,4.56,4.48,21.41,4.08,2007
FIFA Manager 09,PC,Sports,Electronic Arts,1,10,7,236,7.77,1.57,5.53,6.51,21.38,5.96,2008
Soldner X  Himmelssturmer,PC,Shooter,Activision,6,5,8,223,6.57,4.75,4.17,5.87,21.36,5.03,2007
Panzer Killer ,PC,Adventure,Amazon Game Studios,7,4,6,250,7.68,7.57,3.02,3.08,21.35,2.88,2007
RACE 07  Official WTCC Game,PC,Racing,Omega,6,7,4,78,7.34,5.07,2.49,6.45,21.35,6.71,2007
Red Baron Arcade,PSN,Simulation,Activision,1,4,2,86,7.11,5.47,5.23,3.52,21.33,1.17,2009
Shadowrun (2007),PC,Shooter,Amazon Game Studios,5,9,8,187,5.8,4.23,4.92,6.37,21.32,4.34,2007
S.Y.K Twin Pack,PS2,Adventure,IBM,7,2,1,67,5.71,4.9,5.91,4.79,21.31,6.42,2010
Aquatopia,PSN,Simulation,Omega,10,9,10,245,7.41,2.82,5.74,5.34,21.31,6.5,2007
King of Clubs,PS2,Sports,Activision,5,2,10,230,5.88,2.66,5.93,6.82,21.29,3.53,2007
Up,PC,Adventure,Amazon Game Studios,2,3,10,98,7.77,5.08,3.95,4.47,21.27,5.6,2009
