title,platform,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,global_sales,Production Cost,release_year
Spec Ops  Covert Assault,PSN,Shooter,Sony Computer Entertainment,10.0,9.0,8.0,199.0,6.72,4.15,4.24,5.25,20.36,6.36,2009
Anan Kanshuu  Onna Dikara Kinkyuu Up  DS,DS,Simulation,Omega,5.0,9.0,7.0,51.0,7.12,3.77,4.24,4.7,19.83,3.27,2007
Kado Chan Shiki Doko Demo Kin Trai Navi,DS,Sports,IBM,6.0,3.0,10.0,283.0,7.93,2.52,4.25,5.93,20.63,3.38,2007
Yakuza  Dead Souls,PS3,Shooter,IBM,9.0,7.0,3.0,0.55,2.12,7.4,2.43,1.5,13.45,4.08,2012
Dave Mirra Freestyle BMX,PS,Sports,Sony Computer Entertainment,9.0,7.4,8.0,83.0,1.05,0.91,4.33,0.11,6.4,4.09,2000
Demolition Racer,PC,Racing,Omega,9.0,3.0,10.0,196.0,7.74,4.06,1.75,6.85,20.4,3.89,2000
Mercuria  Nizu no Miyako ni Koi o Hanataba o,PC,Adventure,Activision,6.0,9.0,4.0,11.0,3.11,2.24,3.27,2.18,10.8,3.09,2010
Black Death,PS3,Shooter,IBM,1.0,9.0,7.0,136.0,3.6,5.11,4.73,1.36,14.8,5.12,2006
Drawn to Life (JP sales),DS,Adventure,Electronic Arts,10.0,2.0,1.0,19.0,4.71,4.74,2.49,5.65,17.59,1.86,2007
Anstoss Action,PC,Simulation,Sony Computer Entertainment,7.0,10.0,3.0,275.0,6.25,4.96,4.48,5.04,20.73,4.79,2001
Aoishiro,PS2,Adventure,Frontier Developments,1.0,4.0,9.0,196.0,3.0,2.57,0.02,3.64,6.25,0.01,2008
FoxKids.com Micro Maniacs Racing,PS,Racing,Activision,10.0,10.0,6.0,2.0,3.0,0.06,3.3,0.04,3.51,1.66,2000
Imagine  Ballet Star,DS,Simulation,Ubisoft,4.0,10.0,2.0,249.0,3.0,0.23,2.27,1.73,4.48,6.44,2008
Hachi One Diver DS,DS,Adventure,Frontier Developments,3.0,1.0,2.0,168.0,4.63,1.4,1.47,1.29,8.79,5.46,2009
Championship Surfer,PS,Sports,Omega,2.0,7.2,3.0,157.0,3.0,0.03,4.0,0.02,4.11,1.65,2000
Emergency 2012,DS,Simulation,IBM,8.0,3.0,3.0,73.0,3.0,6.64,2.45,0.01,9.12,2.91,2010
NTRA Breeders Cup World Thoroughbred Championships,PS2,Sports,Electronic Arts,10.0,9.0,2.0,72.0,3.0,0.07,4.4,0.05,4.65,2.06,2005
Necronomicon  The Dawning of Darkness,PS,Adventure,Ubisoft,1.0,4.0,3.0,288.0,5.6,7.08,1.38,6.19,20.25,2.07,2001
Drome Racers,PS2,Racing,Frontier Developments,10.0,7.0,6.0,135.0,3.0,0.06,2.79,0.05,3.03,5.14,2002
Call of Duty  Ghosts,PS4,Shooter,Activision,8.0,7.5,6.0,99.0,4.17,1.79,0.05,1.64,7.65,2.66,2013
L  the proLogue to DEATH NOTE   Rasen no Wana,DS,Adventure,Electronic Arts,1.0,3.0,10.0,233.0,3.0,4.2,0.09,1.44,5.82,3.61,2008
MX vs. ATV Unleashed,PS2,Racing,Amazon Game Studios,5.0,6.0,3.0,127.0,1.03,0.86,1.13,0.03,3.05,2.35,2005
Twin Mirror,PC,Adventure,Ubisoft,9.0,8.0,8.0,122.0,7.71,4.51,5.19,1.25,18.66,3.16,2020
Startup Company,PC,Simulation,Ubisoft,8.0,5.0,10.0,0.13,6.98,1.9,4.98,1.86,15.72,3.94,2017
Backyard Sports Baseball 2007,PS2,Sports,Activision,5.0,10.0,3.0,61.0,3.0,4.69,2.2,3.28,10.18,3.29,2006
Cake Mania  Bakers Challenge,PS2,Puzzle,Frontier Developments,2.0,4.0,7.0,231.0,3.0,0.01,4.98,0.01,5.03,1.38,2008
Psykio Shooting Collection Vol. 3  Sol Divide & Dragon Blaze,PS2,Shooter,Sony Computer Entertainment,5.0,3.0,8.0,115.0,6.91,3.9,2.66,1.84,15.31,3.95,2005
LEGO Soccer Mania,PS2,Sports,Activision,3.0,7.0,10.0,202.0,3.0,0.04,1.86,0.03,2.01,1.5,2002
Vietcong  Purple Haze,PS2,Shooter,Sony Computer Entertainment,4.0,9.0,8.0,77.0,3.0,0.09,2.98,0.07,3.32,4.92,2004
Alone in the Dark  Illumination,PC,Shooter,Sony Computer Entertainment,6.0,5.0,1.0,77.0,3.73,4.15,3.62,4.18,15.68,4.07,2015
Hotel for Dogs,PC,Simulation,Frontier Developments,2.0,6.0,7.0,68.0,1.66,3.27,4.49,6.28,15.7,1.95,2009
Soldner  Marine Corps,PC,Shooter,Amazon Game Studios,6.0,7.0,1.0,198.0,3.67,4.05,1.52,1.72,10.96,6.36,2005
Vanquish,PC,Adventure,Amazon Game Studios,10.0,10.0,2.0,133.0,2.17,4.25,2.07,4.23,12.72,0.03,2004
Favorite Dear  Junshiro no Yogenmono,PS,Adventure,Activision,2.0,3.0,10.0,205.0,2.05,2.72,3.61,4.22,12.6,3.29,2000
Shaun White Snowboarding,PS3,Sports,Ubisoft,7.0,6.0,10.0,245.0,3.0,0.31,0.01,0.24,1.22,1.08,2008
Nancy Drew  Last Train to Blue Moon Canyon,PC,Adventure,Ubisoft,4.0,10.0,9.0,143.0,5.55,1.67,5.34,4.86,17.42,6.35,2005
Momotsuki  Koufuu no Misasagi Ou,PS2,Adventure,Amazon Game Studios,2.0,1.0,5.0,101.0,3.0,2.53,0.01,3.79,6.34,0.04,2009
International Cricket Captain 2008,PC,Sports,Omega,7.0,4.0,5.0,154.0,6.12,1.77,4.96,1.6,14.45,6.2,2008
Duke Nukem  Manhattan Project,PC,Shooter,Amazon Game Studios,8.0,2.0,4.0,260.0,5.35,1.87,4.87,3.58,15.67,0.01,2002
Out of the Park Baseball 5,PC,Sports,Amazon Game Studios,1.0,6.0,6.0,202.0,7.24,3.39,2.98,5.98,19.59,4.24,2003
Luxor 3,PC,Puzzle,Activision,1.0,10.0,6.0,88.0,4.87,2.77,3.72,2.88,14.24,0.01,2008
The Invisible Hours,PS4,Adventure,Activision,7.0,3.0,6.0,112.0,3.0,0.09,4.88,4.59,9.67,1.87,2017
Space Fishermen,PS2,Simulation,Amazon Game Studios,2.0,6.0,3.0,226.0,5.1,7.79,2.14,2.23,17.26,1.78,2002
Voltage,PS3,Racing,Activision,8.0,6.0,5.0,40.0,2.26,5.91,4.88,5.72,18.77,6.99,2012
Hidden Mysteries  Titanic   Secrets of the Fateful Voyage,PC,Adventure,Sony Computer Entertainment,2.0,3.0,3.0,153.0,3.0,1.62,2.13,0.01,3.77,0.01,2009
Metal Slug Collection PC,PC,Shooter,Frontier Developments,10.0,1.0,2.0,76.0,6.96,2.9,2.4,5.32,17.58,2.95,2009
Endgame,PS2,Shooter,Activision,1.0,6.0,6.0,266.0,3.0,0.04,1.58,0.03,1.73,1.62,2002
NBA Live 2004,PC,Sports,Electronic Arts,7.0,9.0,5.0,20.0,1.96,4.89,1.08,5.39,13.32,3.21,2003
Disneys A Christmas Carol,DS,Adventure,Ubisoft,8.0,1.0,5.0,144.0,3.0,0.21,4.88,0.01,5.34,5.46,2009
The Sims 2  Open for Business,PC,Simulation,Electronic Arts,5.0,8.0,7.0,118.0,3.0,0.46,5.71,0.05,6.74,1.56,2006
TouchMaster 3,DS,Puzzle,Electronic Arts,6.0,6.0,8.0,206.0,3.0,0.29,5.98,0.11,6.81,6.86,2009
Sea Dragon,PC,Shooter,Activision,7.0,9.0,1.0,255.0,5.13,6.2,3.74,6.68,21.75,4.14,2013
Warriors of Vilvatikta,PC,Adventure,Activision,7.0,5.0,3.0,0.24,6.93,4.49,2.48,2.34,16.24,2.37,2016
Resident Evil  Dead Aim,PS2,Shooter,Sony Computer Entertainment,7.0,6.7,9.0,89.0,3.0,0.17,5.5,0.13,6.15,5.45,2003
Zombie Driver,PC,Racing,Ubisoft,5.0,4.0,9.0,20.0,2.41,1.83,1.39,1.86,7.49,2.41,2009
Tiger Woods PGA Tour 06,PS2,Sports,Frontier Developments,2.0,4.0,3.0,242.0,3.0,0.74,3.06,0.03,4.72,5.95,2005
The Sims 4,PC,Simulation,Electronic Arts,5.8,7.0,7.0,160.0,4.1,1.2,5.71,2.6,13.61,6.34,2014
SWAT  Target Liberty,PSN,Shooter,Activision,9.0,2.0,1.0,56.0,3.55,1.93,3.38,3.08,11.94,1.11,2009
WSC REAL 08  World Snooker Championship,PS2,Sports,Frontier Developments,2.0,7.0,8.0,13.0,7.07,4.99,5.17,1.83,19.06,1.42,2008
Nancy Drew  The Captive Curse,PC,Adventure,Omega,7.0,7.0,5.0,1.0,1.56,2.0,3.87,1.04,8.47,6.58,2012
Jikkyou Powerful Pro Yakyuu 2014,PS3,Sports,Omega,9.0,3.0,1.0,233.0,3.0,4.27,0.17,4.06,8.67,1.62,2014
Drake & Josh  Talent Showdown,DS,Adventure,Ubisoft,8.0,3.0,4.0,92.0,3.0,0.03,2.02,5.05,7.13,1.6,2007
Darkstalkers Chronicle  The Chaos Tower,PSN,Fighting,Sony Computer Entertainment,1.0,7.5,3.0,184.0,6.17,1.83,4.22,5.54,17.76,5.84,2009
Stranglehold,PC,Shooter,Frontier Developments,3.0,2.0,6.0,8.0,2.11,3.9,4.29,5.49,15.79,4.83,2007
Lara Croft and the Guardian of Light,PSN,Adventure,Omega,10.0,8.5,9.0,192.0,1.83,7.33,1.14,1.02,11.32,3.32,2010
NASCAR Racing 2002 Season,PC,Racing,Omega,8.0,3.0,4.0,207.0,3.24,5.25,4.88,5.3,18.67,2.57,2002
Creatures  The Albian Years,PC,Simulation,IBM,6.0,5.0,2.0,1.0,6.92,2.61,4.61,2.42,16.56,1.6,2004
Chou Soujuu Mecha MG,DS,Simulation,Omega,8.0,10.0,2.0,50.0,3.0,4.45,0.06,6.29,10.86,2.49,2006
NBA 2K9,PC,Sports,Omega,2.0,8.0,7.0,298.0,3.54,2.19,5.29,4.72,15.74,3.2,2008
Ship Simulator 2008  New Horizons,PC,Simulation,Electronic Arts,10.0,9.0,4.0,125.0,3.93,4.46,1.03,5.47,14.89,3.97,2008
Madden NFL 2005,DS,Sports,Frontier Developments,8.0,3.0,3.0,253.0,3.0,0.24,3.13,1.36,4.99,7.1,2004
NCAA Football 09,PS2,Sports,Sony Computer Entertainment,1.0,1.0,7.0,284.0,3.0,0.4,3.15,0.02,4.05,6.41,2008
The King of Fighters 2000 2001,PS2,Fighting,Amazon Game Studios,7.0,9.0,9.0,87.0,3.0,0.05,1.19,0.04,1.39,1.28,2003
Monster Jam,PS2,Racing,Activision,7.0,9.0,10.0,30.0,3.0,0.12,2.16,0.09,2.61,5.19,2007
The Sims  Life Stories,PC,Simulation,Electronic Arts,4.0,2.0,9.0,24.0,3.0,2.45,5.48,0.01,7.95,3.94,2007
New International Track & Field,DS,Sports,Omega,1.0,7.4,6.0,279.0,3.0,0.07,4.71,6.44,11.3,1.05,2008
RECYCLE,PC,Simulation,Frontier Developments,6.0,3.0,10.0,123.0,4.12,7.97,3.14,6.87,22.1,3.54,2014
Championship Manager  Season 00 01,PC,Sports,Electronic Arts,3.0,2.0,8.0,11.0,2.66,1.95,1.29,1.39,7.29,2.6,2000
MySims Agents,DS,Adventure,Electronic Arts,5.0,10.0,5.0,123.0,1.07,0.54,1.75,0.42,3.78,6.37,2009
Medical 91,PS2,Adventure,Ubisoft,3.0,7.0,8.0,138.0,6.81,4.75,1.12,3.49,16.17,2.29,2005
The Flying Hamster,PSN,Shooter,Amazon Game Studios,10.0,9.0,3.0,141.0,4.37,2.29,3.94,4.14,14.74,1.61,2018
Goin Downtown,PC,Adventure,IBM,6.0,3.0,2.0,273.0,5.06,3.81,3.04,1.74,13.65,3.5,2008
Suzunone Seven  Rebirth Knot,PS2,Adventure,Frontier Developments,8.0,5.0,5.0,18.0,3.0,2.53,0.02,5.78,8.35,1.83,2010
GORN,PC,Simulation,Amazon Game Studios,8.0,3.0,8.0,223.0,5.52,6.71,4.14,1.33,17.7,2.95,2016
Farm Frenzy 3,DS,Puzzle,Omega,9.0,10.0,6.0,135.0,3.0,4.41,3.95,0.02,8.4,2.86,2011
Kickboxing,PS,Fighting,Amazon Game Studios,3.0,4.0,4.0,39.0,1.29,3.66,5.73,2.03,12.71,1.23,2002
Need for Speed  Porsche Unleashed,PC,Racing,IBM,8.0,6.0,3.0,138.0,3.06,3.35,2.0,5.33,13.74,5.17,2000
Major League Baseball 2K5,PS2,Sports,Frontier Developments,10.0,3.0,3.0,83.0,1.48,0.72,3.81,0.56,6.57,1.25,2005
Sam & Max  The Devils Playhouse   Episode 2  The Tomb of Sammun Mak,PSN,Adventure,Ubisoft,8.7,2.0,8.0,163.0,7.69,3.13,3.91,1.11,15.84,1.22,2010
Mr. Driller  Drill Spirits,DS,Puzzle,Sony Computer Entertainment,9.0,10.0,2.0,164.0,3.0,0.08,0.05,1.03,1.3,1.66,2004
Cate West  The Vanishing Files,PC,Adventure,Sony Computer Entertainment,4.0,6.0,2.0,146.0,7.35,3.78,2.88,5.79,19.8,3.44,2008
London Racer  Police Madness,PS2,Racing,Frontier Developments,9.0,4.0,2.0,127.0,6.0,2.98,4.71,4.5,18.19,1.15,2005
SNK Heroines Tag Team Frenzy,PS4,Fighting,Amazon Game Studios,10.0,9.0,3.0,247.0,3.0,1.65,0.02,6.99,8.68,7.84,2018
Renegade Racers,PS,Racing,Electronic Arts,3.0,8.0,2.0,84.0,3.0,0.01,2.75,0.01,2.8,5.51,2000
Winning Post 9 2020,PS4,Sports,IBM,9.0,4.0,2.0,92.0,4.56,1.06,1.52,6.85,13.99,4.42,2020
Negima ? Chou Mahora Taisen Chuu  Checkiin Zenin Shuugou  Yappari Onsen Kichaimashitaa,DS,Adventure,Amazon Game Studios,1.0,6.0,9.0,232.0,3.0,4.37,0.02,4.37,8.78,1.22,2007
Ford vs. Chevy,PS2,Racing,Sony Computer Entertainment,4.0,7.0,1.0,161.0,3.0,0.11,1.09,0.09,1.51,0.01,2005
Trigger Man,PS2,Shooter,Electronic Arts,4.0,10.0,2.0,48.0,3.0,0.08,3.64,0.06,3.94,4.99,2004
L.A. Noire,PS3,Adventure,Activision,9.0,9.1,6.0,119.0,3.21,1.29,0.12,1.31,5.93,2.77,2011
The Conveni 3,PS2,Simulation,Sony Computer Entertainment,10.0,9.0,5.0,73.0,4.55,3.41,2.92,6.35,17.23,4.13,2003
Asphalt  Urban GT 2,DS,Racing,Ubisoft,1.0,3.0,1.0,79.0,3.0,0.09,1.9,0.04,2.17,1.96,2006
Slipstream 5000,PC,Racing,IBM,8.0,6.0,3.0,144.0,4.27,1.16,4.84,1.98,12.25,5.87,2011
Gatling Gears,PC,Shooter,Amazon Game Studios,7.0,5.0,10.0,274.0,3.88,2.32,2.95,5.2,14.35,1.99,2019
Damnation,PC,Shooter,Electronic Arts,8.0,3.0,5.0,35.0,3.0,1.92,2.99,0.01,4.93,6.96,2009
Observation,PC,Adventure,Frontier Developments,8.0,7.0,7.0,158.0,2.67,4.3,5.31,2.42,14.7,4.75,2019
Pro Yakyuu Spirits 3,PS2,Sports,IBM,10.0,9.0,4.0,83.0,3.0,5.0,0.16,4.94,10.26,2.93,2006
Backyard Hockey,PC,Sports,Activision,4.0,10.0,1.0,182.0,3.77,1.01,2.0,6.52,13.3,5.5,2002
Dropship  United Peace Force,PS2,Simulation,Electronic Arts,4.0,2.0,5.0,22.0,3.0,0.05,4.51,0.04,4.7,5.04,2002
NBA 2K10,PC,Sports,Frontier Developments,2.0,1.0,4.0,43.0,3.0,2.56,4.97,0.01,7.55,5.56,2009
Sniper Elite,PC,Shooter,Omega,9.0,7.4,3.0,241.0,3.0,1.16,1.0,0.01,2.19,3.87,2005
The Sims 2  Apartment Life,PC,Simulation,Electronic Arts,8.0,5.0,6.0,164.0,3.0,4.85,1.12,0.08,6.13,5.54,2008
House M.D.,PC,Adventure,Activision,7.0,5.0,2.0,192.0,5.58,1.01,4.75,3.16,14.5,6.55,2010
Chameleon  To Dye For ,DS,Puzzle,Sony Computer Entertainment,1.0,8.0,5.0,236.0,3.0,0.01,1.28,2.71,4.01,1.7,2007
Agatha Christie  Death on the Nile,PC,Adventure,Ubisoft,1.0,6.0,4.0,51.0,3.0,4.19,5.59,0.01,9.81,6.02,2008
Imagine  Zookeeper,DS,Simulation,Ubisoft,3.0,4.0,5.0,43.0,3.0,0.15,5.89,0.06,6.34,2.83,2009
All Star Baseball 2005,PS2,Sports,Amazon Game Studios,5.0,9.0,9.0,253.0,3.0,0.16,4.71,0.12,5.31,3.21,2004
Hyakko  Yorozuya Jikenbo ,PS2,Adventure,Electronic Arts,4.0,5.0,8.0,102.0,6.76,3.49,3.84,4.84,18.93,0.1,2009
Syberia,DS,Adventure,Ubisoft,9.0,7.0,3.0,35.0,3.0,0.1,3.44,0.02,3.69,1.42,2008
Muscle Ranking   Kinniku Banzuke  Muscle Wars 21,PS2,Sports,Ubisoft,4.0,9.0,5.0,227.0,7.89,2.47,2.63,2.14,15.13,3.95,2001
Antenna,PC,Adventure,Activision,8.0,3.0,10.0,60.0,5.42,4.96,4.22,5.84,20.44,5.95,2016
