title,platform,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,Production Cost,release_year
GTI Racing,PC,Racing,Amazon Game Studios,5.0,8.0,9.0,67.0,2.71,2.07,3.6,5.51,5.06,2006.0
Enigmatis 3  The Shadow Of Karkhala,PC,Adventure,Electronic Arts,10.0,4.0,1.0,126.0,3.0,3.56,3.49,0.01,4.62,2017.0
Naval Ops  Commander,PS2,Simulation,Frontier Developments,8.0,4.0,8.0,200.0,3.0,0.03,3.32,0.02,2.02,2004.0
Pro Cycling Manager 2016,PC,Sports,IBM,8.0,1.0,7.0,69.0,3.0,4.92,4.47,0.04,3.21,2016.0
The Mystery of the Druids,PC,Puzzle,Omega,1.0,6.0,10.0,137.0,7.86,1.97,2.04,4.88,2.85,2001.0
Brian Lara International Cricket 2007,PS2,Sports,Ubisoft,9.0,5.0,2.0,186.0,2.99,2.18,5.15,2.95,6.37,2007.0
Babysitting Mania,DS,Simulation,Amazon Game Studios,5.0,4.0,5.0,1.0,3.0,0.24,2.86,6.65,3.74,2008.0
4x4 Hummer,PC,Racing,Amazon Game Studios,7.0,10.0,3.0,249.0,2.48,2.76,3.24,4.45,1.16,2009.0
Operation Flashpoint  Dragon Rising,PS3,Shooter,Electronic Arts,2.0,7.3,5.0,33.0,3.0,0.23,0.05,0.46,5.8,2009.0
AI  The Somnium Files,PS4,Adventure,Ubisoft,7.0,7.0,2.0,176.0,6.83,1.27,2.9,2.64,3.46,2019.0
Football Academy,DS,Sports,Frontier Developments,5.0,2.0,3.0,188.0,3.0,2.36,3.02,0.01,5.68,2009.0
A.C.E.  Another Centurys Episode,PS2,Simulation,Activision,3.0,8.0,5.0,84.0,3.0,3.53,0.26,3.33,2.09,2005.0
The House of the Dead III,PC,Shooter,Activision,2.0,6.0,6.0,272.0,1.84,3.45,5.01,3.78,2.09,2005.0
Red Johnsons Chronicles  Episode 1,PSN,Adventure,Omega,8.0,7.3,10.0,78.0,1.22,2.64,4.76,2.72,1.09,2011.0
Pillow Pets,DS,Adventure,Activision,9.0,8.0,8.0,132.0,3.0,0.08,2.03,1.08,3.0,2011.0
Naruto Shippuden Ultimate Ninja Storm 4  Road to Boruto,PS4,Fighting,Ubisoft,7.0,5.0,1.0,178.0,3.0,3.52,0.03,2.04,4.49,2017.0
Heavy Bullets,PC,Shooter,Frontier Developments,7.0,7.0,8.0,0.12,1.92,1.15,2.2,5.35,2.94,2014.0
S.L.A.I.  Steel Lancer Arena International,PS2,Simulation,Frontier Developments,9.0,9.0,1.0,102.0,3.0,0.01,4.45,0.01,6.62,2005.0
Chou   Super Nep League DS,DS,Sports,Frontier Developments,7.0,10.0,6.0,179.0,3.0,1.8,0.02,1.97,0.02,2008.0
Tropico 2  Pirate Cove,PC,Simulation,Electronic Arts,8.0,8.3,3.0,91.0,4.12,4.01,5.79,2.26,2.49,2003.0
Marvel vs. Capcom 2,PSN,Fighting,Electronic Arts,6.0,8.6,5.0,19.0,2.37,2.59,3.55,6.75,1.23,2009.0
S.T.A.L.K.E.R.  Clear Sky,PC,Shooter,Omega,6.0,7.0,4.0,9.0,3.0,1.9,4.38,0.03,2.08,2008.0
Attack on Pearl Harbor,PC,Simulation,Activision,8.0,10.0,2.0,300.0,5.22,1.87,2.35,1.73,1.84,2007.0
Burnout Revenge,PS2,Racing,Sony Computer Entertainment,8.0,9.0,1.0,144.0,3.0,0.75,4.6,0.03,2.82,2005.0
Victorious Boxers 2  Fighting Spirit,PS2,Fighting,Sony Computer Entertainment,8.0,5.0,10.0,143.0,3.56,4.1,4.6,4.81,2.49,2006.0
Cocoto Kart Racer,PC,Racing,Electronic Arts,2.0,9.0,7.0,262.0,6.32,1.84,2.55,5.18,1.77,2006.0
The Sims 2,PS2,Simulation,Electronic Arts,1.0,1.0,10.0,101.0,3.0,0.67,2.6,0.03,1.98,2005.0
Tom Clancys Splinter Cell,PC,Shooter,Ubisoft,1.0,8.0,1.0,115.0,3.0,3.48,5.45,6.98,2.04,2003.0
Tetris Worlds,PS2,Puzzle,Sony Computer Entertainment,6.0,2.0,9.0,266.0,2.08,1.11,5.58,0.71,4.09,2002.0
Aqua Teen Hunger Force  Zombie Ninja Pro Am,PS2,Racing,Omega,8.0,5.0,10.0,42.0,3.0,0.03,2.0,0.03,3.34,2007.0
LEGO Friends,DS,Simulation,Electronic Arts,10.0,6.0,7.0,150.0,2.21,5.46,2.58,4.14,2.05,2014.0
Mortal Kombat vs DC Universe,PS3,Fighting,Sony Computer Entertainment,7.0,7.6,6.0,211.0,2.05,1.52,2.69,0.29,1.09,2008.0
Slime Rancher,Linux,Simulation,Electronic Arts,9.0,6.0,8.0,71.0,2.96,3.17,2.78,4.92,5.23,2017.0
Syphon Filter 3,PS,Shooter,Amazon Game Studios,9.0,4.0,2.0,47.0,3.0,0.29,2.66,0.2,0.01,2001.0
Fuuraiki,PS,Adventure,Electronic Arts,1.0,2.0,4.0,18.0,4.74,3.93,3.84,6.63,4.21,2001.0
Tom Clancys Rainbow Six  Quarantine,PS5,Shooter,Ubisoft,8.0,8.0,6.0,20.0,5.19,3.91,4.39,3.2,6.64,2019.0
Beijing 2008,PS3,Sports,Sony Computer Entertainment,5.0,9.0,9.0,150.0,3.0,0.14,0.01,0.54,1.37,2008.0
Real Madrid  The Game,PS2,Sports,Activision,1.0,9.0,5.0,36.0,7.31,6.63,3.62,6.78,5.33,2009.0
Black Mirror,PC,Adventure,Sony Computer Entertainment,8.0,3.0,10.0,82.0,7.62,5.86,4.66,5.45,5.01,2017.0
GoldenEye  Rogue Agent,DS,Shooter,Electronic Arts,8.0,2.0,8.0,109.0,3.0,0.1,4.72,5.09,1.58,2005.0
Machine Maiden Next,PC,Adventure,Ubisoft,8.0,1.0,4.0,261.0,1.36,4.07,3.33,5.95,2.68,2002.0
Slipstream 5000,PC,Racing,IBM,8.0,6.0,3.0,144.0,4.27,1.16,4.84,1.98,5.87,2011.0
Dancing Stage Max,PS2,Simulation,Ubisoft,3.0,10.0,4.0,278.0,6.6,2.71,5.98,5.8,5.85,2005.0
Lawnmower Racing Mania 2007,PC,Racing,Amazon Game Studios,4.0,8.0,8.0,23.0,6.01,2.97,4.51,4.9,3.31,2006.0
7th Sector,PS4,Puzzle,Omega,10.0,9.0,7.0,185.0,4.77,3.33,1.64,5.52,2.62,2019.0
Yumeiro Patissiere  My Sweets Cooking,DS,Simulation,IBM,10.0,6.0,6.0,234.0,3.0,2.26,0.03,4.99,5.88,2010.0
Airfix Dogfighter,PC,Simulation,Ubisoft,4.0,7.8,1.0,15.0,7.44,4.53,5.4,6.05,4.18,2000.0
Midnight Mysteries  The Edgar Allan Poe Conspiracy,PC,Adventure,Ubisoft,10.0,8.0,3.0,290.0,3.0,2.0,3.23,0.03,1.88,2009.0
Doggie Daycare,PC,Simulation,Frontier Developments,1.0,7.0,4.0,275.0,4.54,2.2,2.38,2.33,1.25,2008.0
Go  Puzzle,PS3,Puzzle,Sony Computer Entertainment,10.0,10.0,9.0,67.0,7.46,7.56,1.63,6.38,2.87,2007.0
Melty Blood  Act Cadenza Version B,PC,Fighting,Electronic Arts,8.0,1.0,8.0,179.0,3.42,3.44,1.64,4.36,3.34,2007.0
Passpartout  The Starving Artist,PC,Simulation,Sony Computer Entertainment,7.0,10.0,5.0,0.21,3.48,2.92,4.78,4.36,1.47,2019.0
Twilight Syndrome Saikai,PS,Adventure,Electronic Arts,4.0,3.0,6.0,105.0,2.97,1.15,2.01,1.11,1.69,2000.0
J.U.L.I.A. Among the Stars,Linux,Adventure,Electronic Arts,6.0,5.0,2.0,115.0,1.88,2.56,2.04,2.46,6.92,2012.0
Time Crisis  Razing Storm,PS3,Shooter,Electronic Arts,7.0,5.8,4.0,203.0,3.0,0.18,0.07,0.21,3.22,2010.0
Chicken Invaders  Ultimate Omelette,PC,Shooter,Omega,7.0,6.0,7.0,259.0,6.5,3.85,3.06,6.6,3.35,2000.0
Knockout Kings 2002,PS2,Sports,Electronic Arts,2.0,10.0,6.0,261.0,3.0,0.45,4.96,0.35,4.28,2002.0
Bokura no Telebi Game Kentei,DS,Puzzle,Electronic Arts,2.0,6.0,10.0,35.0,7.33,1.18,5.94,1.13,2.06,2008.0
Jolly Rover,PC,Adventure,Ubisoft,7.0,4.0,3.0,240.0,3.28,3.3,3.68,6.79,2.03,2010.0
Hot Shots Golf Fore ,PS2,Sports,Activision,9.0,3.0,10.0,256.0,3.0,0.46,1.63,0.36,3.06,2004.0
Sega Ages 2500 Series Vol. 28  Tetris Collection,PS2,Puzzle,Frontier Developments,6.0,8.0,10.0,249.0,7.77,4.1,4.37,6.44,3.57,2006.0
V Rally 3,PS2,Racing,Ubisoft,1.0,8.0,2.0,225.0,3.0,0.03,3.99,0.02,2.66,2002.0
Yourself Fitness,PS2,Sports,Omega,1.0,4.0,8.0,209.0,3.0,0.02,4.56,0.02,3.0,2005.0
EverBlue,PS2,Adventure,Activision,6.0,8.0,10.0,155.0,3.1,3.22,5.67,2.14,2.56,2002.0
Hotel for Dogs,PC,Simulation,Frontier Developments,2.0,6.0,7.0,68.0,1.66,3.27,4.49,6.28,1.95,2009.0
Izumo 2,PS2,Adventure,Omega,4.0,8.0,6.0,290.0,3.0,3.82,0.01,4.32,3.98,2006.0
Subbuteo,DS,Sports,Ubisoft,4.0,2.0,4.0,30.0,4.7,3.02,5.29,3.93,1.17,2008.0
Love Love Hamster,DS,Simulation,Frontier Developments,10.0,9.0,8.0,290.0,3.45,2.98,3.88,1.31,3.53,2006.0
Rugrats  Totally Angelica,PS,Adventure,Sony Computer Entertainment,2.0,8.0,9.0,170.0,3.0,0.06,3.94,0.04,4.08,2001.0
Chaos Baby Ashimi 2,PC,Adventure,Frontier Developments,2.0,7.0,6.0,27.0,2.75,3.11,2.06,3.74,3.59,2001.0
RICO,PS4,Shooter,IBM,8.0,6.0,6.0,274.0,5.95,4.71,3.78,2.96,4.31,2019.0
Chainz 2  Relinked,PC,Puzzle,Electronic Arts,3.0,1.0,5.0,176.0,3.77,2.54,4.83,3.48,2.06,2007.0
LEGO Drome Racers & LEGO Creator  Knights Kingdom Double Pack,PC,Racing,Ubisoft,10.0,3.0,7.0,72.0,5.52,4.72,5.03,3.57,3.0,2013.0
Borderlands 2,PS3,Shooter,Frontier Developments,9.0,4.0,2.0,121.0,2.27,1.06,0.1,0.75,1.56,2012.0
Yamiyo ni Sasayaku  Meitantei Kyouichirou Sagara,PS2,Adventure,Frontier Developments,4.0,2.0,6.0,42.0,2.0,1.37,1.5,4.67,3.76,2006.0
Lemmings (PSP),PSN,Puzzle,Ubisoft,2.0,9.0,5.0,218.0,2.89,3.11,5.34,3.13,1.55,2009.0
Blasters of the Universe,PS4,Shooter,Activision,7.0,1.0,3.0,75.0,5.94,4.15,3.03,4.67,2.49,2018.0
Murder in the Abbey,PC,Adventure,Omega,3.0,7.0,8.0,247.0,5.56,2.53,1.48,1.54,5.34,2008.0
Sonic Riders  Zero Gravity,PS2,Racing,Omega,5.0,9.0,2.0,287.0,3.0,0.09,4.05,0.07,4.23,2008.0
Midsummer Night,PC,Adventure,Ubisoft,7.0,3.0,3.0,0.1,7.91,2.51,4.25,2.05,3.13,2016.0
Prey (2017),PS4,Shooter,Sony Computer Entertainment,7.0,9.0,2.0,130.0,1.04,0.25,0.02,0.62,1.09,2017.0
The Punisher,PC,Shooter,Omega,9.0,10.0,7.0,121.0,6.69,5.3,5.65,3.98,3.22,2005.0
Summer Challenge  Athletics Tournament,PS3,Sports,Activision,10.0,6.0,4.0,116.0,3.0,2.19,4.85,0.03,5.05,2011.0
Mx vs. ATV Reflex,PS3,Racing,Amazon Game Studios,10.0,3.0,9.0,284.0,3.0,0.52,4.55,0.26,2.44,2009.0
Championship Manager 5,PS2,Sports,Electronic Arts,2.0,3.0,3.0,23.0,7.58,3.14,5.68,2.62,3.55,2005.0
Freedom Fighters,PC,Shooter,Electronic Arts,4.0,4.0,6.0,287.0,7.73,4.86,4.86,5.25,1.93,2003.0
EA Playground,DS,Sports,Electronic Arts,1.0,3.0,3.0,90.0,3.0,0.29,1.6,0.01,3.36,2007.0
Delta Force  Task Force Dagger,PC,Shooter,Ubisoft,4.0,9.0,3.0,272.0,6.52,4.37,1.16,6.72,3.0,2002.0
Kagami Hana Suigetsu,PC,Adventure,Activision,9.0,6.0,9.0,77.0,2.18,5.96,5.96,3.31,4.28,2003.0
Backyard Soccer,PS,Sports,IBM,4.0,6.0,10.0,251.0,3.0,0.07,1.23,0.05,0.01,2001.0
Germanys Next Topmodel,PS2,Simulation,Amazon Game Studios,8.0,6.0,3.0,67.0,6.87,1.16,1.55,1.14,2.83,2009.0
The Flintstones in Viva Rock Vegas,PS2,Racing,Omega,5.0,1.0,10.0,229.0,7.95,3.38,5.54,1.23,0.17,2001.0
Stacking,PC,Puzzle,Ubisoft,10.0,9.0,1.0,0.25,1.18,4.92,3.42,4.41,6.14,2012.0
Overkills The Walking Dead,PS4,Board Game,Activision,6.0,3.0,4.0,170.0,1.89,3.25,3.8,5.04,1.82,2019.0
Cities in Motion 2,PC,Simulation,Sony Computer Entertainment,3.0,5.0,1.0,0.45,2.58,2.23,2.87,4.66,5.86,2002.0
Peggle  Dual Shot,DS,Puzzle,Electronic Arts,2.0,2.0,3.0,239.0,3.0,0.11,3.82,4.65,2.9,2009.0
Lost Planet 2,PC,Shooter,Activision,9.0,3.0,6.0,180.0,3.0,1.39,1.04,0.02,3.71,2010.0
NASCAR 09,PS2,Racing,Sony Computer Entertainment,5.0,4.0,7.0,25.0,3.0,0.26,1.29,0.2,1.89,2008.0
Miss Popularity,PC,Simulation,IBM,6.0,3.0,3.0,247.0,5.64,7.16,5.53,5.61,5.14,2007.0
Jack Keane,PC,Adventure,IBM,2.0,8.0,8.0,109.0,3.0,6.45,3.2,0.02,3.76,2008.0
Winning Post 9 2020,PS4,Sports,IBM,9.0,4.0,2.0,92.0,4.56,1.06,1.52,6.85,4.42,2019.0
Zup  2,PC,Puzzle,Electronic Arts,10.0,4.0,1.0,0.15,5.05,7.42,5.88,6.77,6.84,2017.0
Petz  Horsez 2,PC,Simulation,Ubisoft,2.0,4.0,6.0,254.0,3.14,4.06,5.91,3.7,2.91,2007.0
Test Drive Le Mans,PS,Racing,IBM,8.0,8.0,3.0,40.0,3.0,0.03,3.23,0.02,1.49,2000.0
Pang  Magical Michael,DS,Puzzle,Sony Computer Entertainment,9.0,6.0,6.0,204.0,5.04,1.25,5.02,1.43,3.43,2010.0
NBA 2K11,PC,Sports,Frontier Developments,8.0,7.0,7.0,181.0,3.0,0.18,2.42,5.2,1.28,2010.0
Jumble Madness,DS,Puzzle,Frontier Developments,2.0,3.0,9.0,97.0,3.0,0.06,4.94,4.97,1.72,2009.0
Arcobaleno ,PS2,Simulation,Electronic Arts,6.0,4.0,5.0,142.0,3.0,2.0,0.01,6.63,3.0,2009.0
Lets Play Fashion Designer,DS,Simulation,Amazon Game Studios,4.0,7.0,5.0,230.0,4.55,4.96,1.34,3.52,3.44,2009.0
Bleach  Erabareshi Tamashii,PS2,Adventure,Omega,2.0,5.0,4.0,298.0,3.0,2.6,0.08,5.28,1.39,2005.0
Jikkyou Jitsumei Keiba Dream Classic 2001 Spring,PS2,Sports,Electronic Arts,7.0,4.0,3.0,169.0,5.67,4.98,2.12,1.94,3.14,2001.0
Borderlands  Claptraps New Robot Revolution,PSN,Shooter,Frontier Developments,9.0,8.0,10.0,80.0,3.78,2.88,1.39,4.6,1.92,2010.0
Formula 1 06,PS2,Racing,Omega,3.0,6.0,6.0,107.0,3.0,5.23,0.04,6.06,2.13,2006.0
Pro Evolution Soccer 2019,PC,Sports,Activision,7.0,10.0,10.0,268.0,4.23,4.25,4.48,4.45,5.46,2018.0
Pri Saga  Princess o Sagase ,PS2,Adventure,Activision,6.0,4.0,8.0,284.0,4.69,6.8,3.06,5.88,3.55,2007.0
Hot Shots Golf  World Invitational,PS3,Shooter,Sony Computer Entertainment,6.0,5.0,9.0,5.0,3.0,2.51,0.28,1.3,3.11,2013.0
War Inc. Battlezone,PC,Shooter,Omega,10.0,5.0,2.0,152.0,4.77,6.65,4.64,6.17,6.66,2011.0
Aero Elite  Combat Academy,PS2,Simulation,Omega,2.0,7.0,5.0,242.0,3.0,0.04,5.44,0.03,4.93,2003.0
Trüberbrook,PC,Adventure,Frontier Developments,8.0,2.0,9.0,103.0,7.06,3.64,2.79,1.25,1.97,2019.0
Yumemi Hakusho  Second Dream,PS2,Adventure,Omega,7.0,3.0,4.0,33.0,4.64,4.73,2.35,4.82,3.0,2008.0
Mega Airport  London Heathrow,PC,Simulation,Ubisoft,6.0,3.0,3.0,109.0,4.52,1.11,1.66,5.63,6.68,2007.0
Gran Turismo   Motor Toon Grand Prix 2,PS,Racing,Frontier Developments,10.0,9.0,9.0,94.0,3.0,0.03,3.31,0.02,3.68,2003.0
NBA Live 19,PS4,Sports,Electronic Arts,9.0,2.0,8.0,73.0,3.0,0.15,5.49,4.64,1.5,2018.0
Rugby 08,PS2,Sports,Electronic Arts,3.0,10.0,1.0,166.0,3.0,0.02,4.91,0.01,3.41,2007.0
Rocket Arena,PS4,Shooter,Electronic Arts,10.0,10.0,7.0,161.0,3.92,3.88,1.45,3.32,1.04,2019.0
RailWorks Challenger,PC,Simulation,Ubisoft,2.0,4.0,2.0,210.0,4.58,4.33,5.33,5.85,2.72,2009.0
Whirl Tour,PS2,Sports,Activision,9.0,5.0,5.0,16.0,3.0,0.11,1.61,0.09,2.86,2002.0
World of Warships,PC,Shooter,Sony Computer Entertainment,9.0,6.0,4.0,172.0,6.65,7.21,2.48,4.86,5.51,2015.0
Madden NFL 10,PS3,Sports,Ubisoft,8.6,8.5,2.0,177.0,2.37,2.03,1.98,0.13,2.94,2009.0
Wappy Dog,DS,Simulation,Activision,6.0,6.0,6.0,47.0,3.0,0.26,4.78,6.85,3.16,2011.0
Smugglers Run,PS2,Racing,IBM,3.0,3.0,2.0,297.0,1.56,0.77,3.23,0.6,7.31,2000.0
Ramen Heaven,PSN,Puzzle,Activision,8.0,6.0,2.0,83.0,1.66,7.55,2.4,6.24,1.53,2010.0
Don Doko Don  Manatsu Noko Fundo,PC,Adventure,Activision,5.0,4.0,10.0,288.0,7.35,4.69,4.21,4.96,3.45,2004.0
Sega Bass Fishing,PSN,Sports,Activision,10.0,5.0,3.0,235.0,4.23,1.92,5.45,4.78,3.76,2008.0
World Soccer Winning Eleven 7 International,PC,Sports,Ubisoft,5.0,9.1,4.0,219.0,3.33,3.34,1.12,1.69,4.79,2004.0
